grupo_equipe;data_inicio_exec;data_fim_exec;aerogerador;desc_especie;desc_esquema;quantidade
AGD;2026-01-19 08:00:00;2026-01-19 17:00:00;AMP-01;GERADOR;INSPEÇÃO DE MANUTENÇÃO PREVENTIVA ANUAL;1
AGD;2026-01-19 08:00:00;2026-01-19 17:00:00;AMP-01;NACELLE;INSPEÇÃO DE MANUTENÇÃO PREVENTIVA ANUAL;1
AGD;2026-01-19 08:00:00;2026-01-19 17:00:00;AMP-01;SISTEMA PITCH;INSPEÇÃO DE MANUTENÇÃO PREVENTIVA ANUAL;1
AGD;2026-01-19 08:00:00;2026-01-19 17:00:00;AMP-01;TORRE WTG;INSPEÇÃO DE MANUTENÇÃO PREVENTIVA ANUAL;1
AGD;2026-01-19 08:00:00;2026-01-21 12:00:00;AMP-01;AEROGERADOR;AVALIAÇÃO DE EQUIPE;1
AGD;2026-01-21 08:00:00;2026-01-21 12:00:00;AMP-01;CONVERSOR;INSPEÇÃO DE MANUTENÇÃO PREVENTIVA ANUAL;1
AGD;2026-01-26 13:00:00;2026-01-26 17:00:00;AMP-07;CONVERSOR;INSPEÇÃO DE MANUTENÇÃO PREVENTIVA ANUAL;1
AGD;2026-01-27 08:00:00;2026-01-27 14:00:00;AMP-07;GERADOR;INSPEÇÃO DE MANUTENÇÃO PREVENTIVA ANUAL;1
AGD;2026-01-27 08:00:00;2026-01-27 14:00:00;AMP-07;SISTEMA PITCH;INSPEÇÃO DE MANUTENÇÃO PREVENTIVA ANUAL;1
AGD;2026-01-28 08:00:00;2026-01-28 12:00:00;AMP-07;AEROGERADOR;AVALIAÇÃO DE EQUIPE;1
AGD;2026-01-28 08:00:00;2026-01-28 12:00:00;AMP-07;NACELLE;INSPEÇÃO DE MANUTENÇÃO PREVENTIVA ANUAL;1
AGD;2026-01-28 08:00:00;2026-01-28 12:00:00;AMP-07;TORRE WTG;INSPEÇÃO DE MANUTENÇÃO PREVENTIVA ANUAL;1
AGD;2026-02-05 08:00:00;2026-02-05 14:00:00;AMP-14;CONVERSOR;INSPEÇÃO DE MANUTENÇÃO PREVENTIVA ANUAL;1
AGD;2026-02-12 08:30:00;2026-02-19 09:00:00;AQB-37;FERRAMENTAS EQUIPAMENTOS DE ENSAIO E MEDIÇÃO;MPP6 - AUDITORIA DE FERRAMENTAS - M6;1
AGD;2026-02-12 09:30:00;2026-02-12 10:00:00;AQB-MV;FERRAMENTAS EQUIPAMENTOS DE ENSAIO E MEDIÇÃO;MPP6 - AUDITORIA DE FERRAMENTAS - M6;5
AGD;2026-02-12 13:00:00;2026-02-12 17:00:00;AMP-08;CONVERSOR;INSPEÇÃO DE QUALIDADE DE AEROGERADOR;1
AGD;2026-02-12 13:00:00;2026-02-12 17:00:00;AMP-08;GERADOR;INSPEÇÃO DE QUALIDADE DE AEROGERADOR;1
AGD;2026-02-12 13:00:00;2026-02-12 17:00:00;AMP-08;NACELLE;INSPEÇÃO DE QUALIDADE DE AEROGERADOR;1
AGD;2026-02-12 13:00:00;2026-02-12 17:00:00;AMP-08;SISTEMA PITCH;INSPEÇÃO DE QUALIDADE DE AEROGERADOR;1
AGD;2026-02-12 13:00:00;2026-02-12 17:00:00;AMP-08;TORRE WTG;INSPEÇÃO DE QUALIDADE DE AEROGERADOR;1
AGD;2026-02-13 08:00:00;2026-02-13 13:00:00;CBO-01;CONVERSOR;INSPEÇÃO DE MANUTENÇÃO PREVENTIVA ANUAL;1
AGD;2026-02-19 07:30:00;2026-02-19 08:00:00;AQB-45;FERRAMENTAS EQUIPAMENTOS DE ENSAIO E MEDIÇÃO;MPP6 - AUDITORIA DE FERRAMENTAS - M6;1
AGD;2026-02-19 07:50:00;2026-02-19 08:20:00;AQB-15;FERRAMENTAS EQUIPAMENTOS DE ENSAIO E MEDIÇÃO;MPP6 - AUDITORIA DE FERRAMENTAS - M6;1
AGD;2026-02-19 08:00:00;2026-02-19 08:30:00;AQB-80;FERRAMENTAS EQUIPAMENTOS DE ENSAIO E MEDIÇÃO;MPP6 - AUDITORIA DE FERRAMENTAS - M6;1
AGD;2026-02-19 09:00:00;2026-02-19 09:30:00;AQB-53;FERRAMENTAS EQUIPAMENTOS DE ENSAIO E MEDIÇÃO;MPP6 - AUDITORIA DE FERRAMENTAS - M6;1
AGD;2026-02-19 09:30:00;2026-02-19 10:00:00;AQB-38;FERRAMENTAS EQUIPAMENTOS DE ENSAIO E MEDIÇÃO;MPP6 - AUDITORIA DE FERRAMENTAS - M6;1
AGD;2026-02-19 09:40:00;2026-02-19 10:20:00;AQB-10;FERRAMENTAS EQUIPAMENTOS DE ENSAIO E MEDIÇÃO;MPP6 - AUDITORIA DE FERRAMENTAS - M6;1
AGD;2026-02-19 13:00:00;2026-02-19 13:30:00;AQB-19;FERRAMENTAS EQUIPAMENTOS DE ENSAIO E MEDIÇÃO;MPP6 - AUDITORIA DE FERRAMENTAS - M6;1
AGD;2026-02-19 13:00:00;2026-02-19 13:30:00;AQB-27;FERRAMENTAS EQUIPAMENTOS DE ENSAIO E MEDIÇÃO;MPP6 - AUDITORIA DE FERRAMENTAS - M6;1
AGD;2026-02-19 13:00:00;2026-02-19 13:30:00;AQB-28;FERRAMENTAS EQUIPAMENTOS DE ENSAIO E MEDIÇÃO;MPP6 - AUDITORIA DE FERRAMENTAS - M6;1
AGD;2026-02-19 13:00:00;2026-02-19 13:30:00;AQB-30;FERRAMENTAS EQUIPAMENTOS DE ENSAIO E MEDIÇÃO;MPP6 - AUDITORIA DE FERRAMENTAS - M6;1
AGD;2026-02-19 13:00:00;2026-02-19 13:30:00;AQB-36;FERRAMENTAS EQUIPAMENTOS DE ENSAIO E MEDIÇÃO;MPP6 - AUDITORIA DE FERRAMENTAS - M6;1
AGD;2026-02-19 13:00:00;2026-02-19 13:35:00;AQB-24;FERRAMENTAS EQUIPAMENTOS DE ENSAIO E MEDIÇÃO;MPP6 - AUDITORIA DE FERRAMENTAS - M6;1
AGD;2026-02-19 13:00:00;2026-02-19 13:40:00;AQB-33;FERRAMENTAS EQUIPAMENTOS DE ENSAIO E MEDIÇÃO;MPP6 - AUDITORIA DE FERRAMENTAS - M6;1
AGD;2026-02-19 13:00:00;2026-02-19 14:00:00;AQB-20;FERRAMENTAS EQUIPAMENTOS DE ENSAIO E MEDIÇÃO;MPP6 - AUDITORIA DE FERRAMENTAS - M6;1
